장소 이름,위도,경도
킹마트분식,126.42119527831844,33.25238859924124
관광편의마트,126.413396343449,33.2494470314941
도순할인마트,126.474336552998,33.2525181860394
경진마트,126.476130458394,33.2367436872009
삼다농수산토산품할인마트,126.489613506849,33.2347512403528
하원옥돔마트,126.456896209935,33.2539507595708
올레코사마트,126.477561341425,33.2364467582338
3분마트 글래즈하임호텔점,126.497921801474,33.236654128329
하동코사마트,126.461056526587,33.2545026206591
3분마트 썬라이즈호텔중문점,126.430551964119,33.2475377865344
CU 서귀포강정점,126.505502271996,33.2512647231839
CU 강정마을점,126.4786310300388,33.23608518542508
CU 제주중문점,126.42565660274948,33.25182683536333
해성펜션,126.419840255282,33.2544542119292
한경농협하나로마트,126.19001166493884,33.346442570515386
제주고산농협 하나로마트,126.17924394231471,33.300238249083186
대정농협하나로마트 무릉점,126.20094537509875,33.271435609291444
한림수협마트,126.260137408448,33.4147330768992
당멀마켓(마트),126.258234419687,33.3368962545779
금성마트,126.178798675575,33.3011224781914
한경농협 하나로마트 전기차충전소,126.19025468837188,33.3466479149619
한경농협 저청지소,126.256421423636,33.333975054983
한경농협 조수지점,126.22858748717093,33.336067406965626
코스트코 제주점(2026년 예정),126.308531506826,33.3013657156922
마마뜰마켓,126.335682299496,33.3102323801462
에듀시티마트,126.27615869663968,33.27940397068409
마켓오리진,126.277383750267,33.280541714145784
굿모닝마트,126.270531373079,33.3184141532326
민우코사마트,126.510131186216,33.250951243762
로드랜드미니마트,126.385663279086,33.348209249742
제주한림농협하나로마트,126.26388654855646,33.40997696528563
애월농협하나로마트,126.32233635293836,33.46049333250818
애월농협 하나로마트 봉성점,126.312171663527,33.4190427679423
좋은마트 애월점,126.36544719006,33.4711348251034
한림마트,126.263359305858,33.408506050524
바다슈퍼,126.36640440059244,33.47545381318589
곽지마트,126.3058911130762,33.44735911892851
한림킹마트,126.265947119984,33.4229107223691
애월수산마트,126.33187150890927,33.46742328223356
한림항정육마트식당,126.263460069592,33.4169455083936
한수위마트,126.261491011291,33.4161205704497
수영코사마트,126.37342129895612,33.47317060236971
애월물류마트,126.3203299928843,33.466703349721925
홍마트 한림점,126.264787553753,33.4120018648815
제주한림농협하나로마트 주차장,126.263880007508,33.4099877455315
